Original|Swapped_To|Type
Adam Resnick|Charles Dickens|person_name
Adam Resurrected|Starcrash|title
Adam Rex|Christopher Trumbo|person_name
Adam Rifkin|Isobel Lennart|person_name
Adam Ripp|Bob Hope|person_name
Adam Roarke|Lindy Laub|person_name
Adam Robertson|Jane Anderson|person_name
Adam Rodgers|Jean Yanne|person_name
Adam Rodman|John Kapelos|person_name
Adam Salky|Matthew Le Nevez|person_name
Adam Sandler|Simone Signoret|person_name
Adam Scott|Norman Snider|person_name
Adam Shankman|Murilo Benício|person_name
Adam Small|Peter Mayle|person_name
Adam Sztykiel|Carol Amen|person_name
Adam Trese|Kristy Swanson|person_name
Adam Weis|Man San Lu|person_name
Adam West|Susan Strasberg|person_name
Adam Wingard|Vsevolod Pudovkin|person_name
Adam's Apples|The Bells|title
Adam's Rib|Picnic on the Grass|title
Adamo Ruggiero|Gary Brandner|person_name
Adanggaman|Body and Soul|title
Adar Beck|James D.R. Hickox|person_name
Addams Family Values|Machuca|title
Addicted|They Only Kill Their Masters|title
Addicted to Love|The Disappearance of Alice Creed|title
Addison Timlin|Edward Knoblock|person_name
Adela Rogers St. Johns|Ted Beck|person_name
Adelaide Clemens|Alan Snow|person_name
Adelaide Kane|Riz Ahmed|person_name
Adele Comandini|Jon DeVries|person_name
Adele Mara|Danny Jacobs|person_name
Aden Young|Gaylen Ross|person_name
Adepero Oduye|Liberto Rabal|person_name
Adi Bielski|Alan Rudolph|person_name
Adi Hasak|Joseph Connolly|person_name
Adil Hussain|Robert Duvall|person_name
Aditya Chopra|Otto Sander|person_name
Aditya Datt|Furio M. Monetti|person_name
Aditya Roy Kapoor|David Mackenzie|person_name
Admission|From Russia with Love|title
Adolf Burger|John Crowley|person_name
Adolf Galland|Juanjo Artero|person_name
Adolf Hitler|Bill Sherwood|person_name
Adolfo Celi|Harry H. Corbett|person_name
Adolfo Torres Portillo|June Head|person_name
Adolph Caesar|Jacques Gagnon|person_name
Adolph Green|Lisa Leeman|person_name
Adolphe Menjou|Mark Deklin|person_name
Adolphe d'Ennery|Buck Privates|title
Adopted|Grand Canyon|title
Adoration|Goldengirl|title
Adore|Live Nude Girls|title
Adrian Bower|Camila Gutiérrez|person_name
Adrian Butchart|Rory Kinnear|person_name
Adrian C. Louis|Cara Buono|person_name
Adrian Dunbar|Reiko Kataoka|person_name
Adrian Edmondson|Zane Grey|person_name
Adrian Grenier|Marco Kreuzpaintner|person_name
Adrian Grunberg|Chadwick Boseman|person_name
Adrian Hodges|Dylan Purcell|person_name
Adrian Lester|Randal Keynes|person_name
Adrian Lyne|Johnny Hallyday|person_name
Adrian Mitchell|Louis Herthum|person_name
Adrian Moat|Nicky Katt|person_name
Adrian Pasdar|Frank Parkin|person_name
Adrian Rawlins|Daniel Radcliffe|person_name
Adrian Shergold|Tunde Adebimpe|person_name
Adrian Vitoria|Jan Read|person_name
Adrian Zmed|Edwige Feuillère|person_name
Adriana Aizemberg|Sngmoo Lee|person_name
Adriana Asti|Hans Habe|person_name
Adriana Falcão|Megan Griffiths|person_name
Adriana Maggs|Evan Dunsky|person_name
Adrianne Palicki|Anton Glanzelius|person_name
Adrien Brody|Essence Atkins|person_name
Adrienne Ames|Gustavo Loza|person_name
Adrienne Barbeau|Prosper Mérimée|person_name
Adrienne Corri|Louis Saia|person_name
Adrienne King|Robert Towne|person_name
Adrienne Shelly|Steven Brill|person_name
Adrift|The Man Who Laughs|title
Adrià García|Patti Hansen|person_name
Adrián Caetano|Al Lettieri|person_name
Adrián García Bogliano|Caroline Ducey|person_name
Adult World|The Fury|title
Adulthood|The Big Easy|title
Advaita Kala|Patrick Muldoon|person_name
Advance to the Rear|Trog|title
Adventure|Crime|genre
Adventure in Baltimore|Caesar and Cleopatra|title
Adventureland|Les Girls|title
Adventures in Babysitting|Medea|title
Adventures of Captain Marvel|Summer Days with Coo|title
Adventures of Don Juan|Dark Tide|title
Adventures of Kitty O'Day|The Enemies of Reason|title
Adventures of Power|The Apostle|title
Adventures of Zatoichi|Red Corner|title
Adão e Eva|For a Good Time, Call...|title
Aerial Gunner|Backfire|title
Affair in Trinidad|Revengers Tragedy|title
Affinity|Sound of Noise|title
Afflicted|Blood Work|title
Affliction|Defending Your Life|title
Affluenza|Mask|title
Afghan Luke|Dragonwyck|title
Africa Screams|War of the Worlds|title
African Cats|Sea of Love|title
Aftab Shivdasani|George Pavlou|person_name
After Alice|Tough Guys Don't Dance|title
After Dark, My Sweet|Firstborn|title
After Earth|Slave Ship|title
After Hours|The Pit|title
After Life|Chéri|title
After Office Hours|California|title
After Tiller|Fist of the North Star|title
After the Dark|The Keeper|title
After the Fox|The Shout|title
After the Rain|Watchmen|title
After the Rehearsal|Accidents Happen|title
After the Sunset|The Leech Woman|title
After the Thin Man|Spin|title
After the Wedding|Manson|title
After...|Vamp|title
After.Life|Zone Troopers|title
Afterburn|The Betrayed|title
Afterglow|Beauty and the Beast|title
Afternoon Delight|Chopping Mall|title
Afterschool|Bob Roberts|title
Aftershock|Big Brown Eyes|title
Afterwards|Leap of Faith|title
Against All Flags|Proof|title
Against All Odds|Zoo in Budapest|title
Against the Current|The Unbelievers|title
Against the Dark|The Man Who Wasn't There|title
Against the Ropes|Elvis and Me|title
Agata and the Storm|Only God Knows|title
Agatha|City of Ember|title
Agatha Christie|Don Bluth|person_name
Agatha Dominik|Steven Vidler|person_name
Agathe de La Boulaye|Queen Bee|title
Age of Consent|Back to the Future Part II|title
Age of Heroes|The Adventures of Priscilla, Queen of the Desert|title
Age of the Dragons|Heights|title
Agent Cody Banks|Unknown|title
Agent Red|Blackthorn|title
Agent Vinod|Spaceballs|title
Agnes Ayres|Michael Chabon|person_name
Agnes Browne|Rise of the Planet of the Apes|title
Agnes Bruckner|John Ketcham|person_name
Agnes Moorehead|Sean Astin|person_name
Agnes Newton Keith|Simon Verhoeven|person_name
Agnes of God|Ironweed|title
Agnieszka Holland|Peter Jackson|person_name
Agnès Jaoui|Ernest Tidyman|person_name
Agnès Merlet|George Dawes Green|person_name
Agnès Varda|Hiner Saleem|person_name
Agnès de Sacy|Roddy Piper|person_name
Agora|What?|title
Aguirre, the Wrath of God|Rembrandt's J'Accuse|title
Agustí Vila|Yul Brynner|person_name
Agustí Villaronga|Michael Caton|person_name
Agustín Díaz Yanes|Jasmine Guy|person_name
Agyness Deyn|Michael Douglas|person_name
Ah, Wilderness!|Brian's Song|title
Aharon Keshales|Ken Solarz|person_name
Ahmad Abdalla|Georgina Hale|person_name
Ahmed Imamovic|Edward Sedgwick|person_name
Ahmet Zappa|Zach Cregger|person_name
Ahna Capri|Dan Wakefield|person_name
Ahney Her|James Marsden|person_name
Ai Kobayashi|DJ Pooh|person_name
Ai Yazawa|Tôru Nakamura|person_name
Aidan Devine|Tim Calpin|person_name
Aidan Gillen|Jacob Chase|person_name
Aidan Quinn|Fede Alvarez|person_name
Aigars Grauba|Tom Fontana|person_name
Aimee Bender|Jack Black|person_name
Aimee Lagos|Gale Storm|person_name
Aimee Molloy|Ciccio Ingrassia|person_name
Aimee Teegarden|Andrzej Bartkowiak|person_name
Ain't Them Bodies Saints|Blue Smoke|title
Ainsworth Morgan|Hugo Chávez|person_name
Air America|Red Garters|title
Air Doll|Chinese Coffee|title
Air Force|Baffled!|title
Air Force One|Badman's Territory|title
Air Hawks|Watership Down|title
Airbag|The Girl in the Red Velvet Swing|title
Airborne|Heat|title
Airheads|Laggies|title
Airplane!|Music of the Heart|title
Airport|Barbie in the Nutcracker|title
Airport '77|Land of the Pharaohs|title
Airport 1975|Incantato|title
Aisha Tyler|David Pabian|person_name
Aislinn Hunter|John Wagner|person_name
Ajantrik|The Appointments of Dennis Jennings|title
Ajay Naidu|Cal Brunker|person_name
Akeelah and the Bee|This Is Elvis|title
Akemi Yamaguchi|Rosa Sánchez|person_name
Aki Avni|Ethan Juan|person_name
Aki Kaurismäki|Robert Coover|person_name
Aki Maeda|Gian Maria Volonté|person_name
Akie Namiki|Harvey Wheeler|person_name
Akif Pirinçci|Hans Adler|person_name
Akifumi Miura|Monique Gabrielle|person_name
Akihiko Hirata|Paul Douglas|person_name
Akihiko Shiota|Tore Svennberg|person_name
Akiko Wakabayashi|Alberto de Mendoza|person_name
Akim Tamiroff|Kelly Senecal|person_name
Akira|Mallrats|title
Akira Emoto|Howard Irving Young|person_name
Akira Inoue|Jackie Searl|person_name
Akira Kubo|Max Elliott Slade|person_name
Akira Kurosawa|Will B. Johnstone|person_name
Akira Murao|Jennifer Yuh|person_name
Akira Takarada|Richard Glatzer|person_name
Akira Takayama|Jonathan Ames|person_name
Akira Yoshimura|Barbara Williams|person_name
Akiva Goldsman|David H. Steinberg|person_name
Akiva Schaffer|Rory Culkin|person_name
Akiyuki Nosaka|Skylar Astin|person_name
Aks|Deal of the Century|title
Aksel Hennie|Harry Lachman|person_name
Akshat Verma|Kristine Sutherland|person_name
Akshay Kumar|Robert Downey Jr.|person_name
Akshaye Khanna|Mark Protosevich|person_name
Aku Louhimies|Bette Gordon|person_name
Al Boasberg|Jill Bennett|person_name
Al Capone|Best Man Down|title
Al Capp|Stephen Coonts|person_name
Al Corley|Roberto Saviano|person_name
Al Dewlen|Julien Duvivier|person_name
Al Feldstein|Thomas Pynchon|person_name
Al Franken|Wajdi Mouawad|person_name
Al Goldstein|Bertrand Tavernier|person_name
Al Hine|Teru Miyamoto|person_name
Al Hirshberg|Matt Baglio|person_name
Al Jean|Robert Sheckley|person_name
Al Jolson|Anthony Peckham|person_name
Al Kaplan|Michael Mann|person_name
Al Lettieri|Monja Danischewsky|person_name
Al Pacino|Billie Whitelaw|person_name
Al Reinert|Mark Andrews|person_name
Al Schwartz|Ken Kwapis|person_name
Al St. John|Robert King|person_name
Al Stump|Rich Cowan|person_name
Al otro lado|Raising Helen|title
Alabama Moon|Red Road|title
Aladdin|Destroy All Monsters|title
Aladin|In the Land of Women|title
Alain Berliner|Everett De Roche|person_name
Alain Boublil|Jem Cohen|person_name
Alain Chabat|Matt O'Leary|person_name
Alain Corneau|Thiago Martins|person_name
Alain Cuny|Hume Cronyn|person_name
Alain Delon|Douglas Buck|person_name
Alain Gagnol|Silvia Pinal|person_name
Alain Godard|Sheryl Lee Ralph|person_name
Alain Guiraudie|Julie Hagerty|person_name
Alain Libolt|Antonio Campos|person_name
Alain Prost|Déborah François|person_name
Alain Resnais|Jeff Kober|person_name
Alain Tanner|Blayne Weaver|person_name
Alain de Botton|Stuart Baird|person_name
Alakina Mann|Mutz Greenbaum|person_name
Alambrista!|No Regrets for Our Youth|title
Alamo Bay|The Barretts of Wimpole Street|title
Alan Alda|Albert Fay Hill|person_name
Alan Arkin|Craig Stevens|person_name
Alan Austin|Pauline Moran|person_name
Alan Ayckbourn|Abhimanyu Singh|person_name
Alan B. McElroy|Alan Brough|person_name
Alan Badel|Robert Blees|person_name
Alan Ball|John Howard Davies|person_name
Alan Bates|Paul Lazar|person_name
Alan Bennett|Efram Potelle|person_name
Alan Boyce|Mark Stevens|person_name
Alan Bridges|Jason Mantzoukas|person_name
Alan Brough|Eleanor Bron|person_name
Alan Brown|Michael Oblowitz|person_name
Alan Bunce|Brian Lynch|person_name
Alan Caillou|Meat Loaf|person_name
Alan Campbell|Gwen Watford|person_name
Alan Clarke|Betty Makoni|person_name
Alan Crosland|Chad Crawford Kinkle|person_name
Alan Cumming|Steven Martini|person_name
Alan Curtis|Nikolaj Frobenius|person_name
Alan Dale|Jessica Simpson|person_name
Alan Duff|Bill Collage|person_name
Alan Ford|Adam Arkin|person_name
Alan Freedland|Tina Turner|person_name
Alan Gibson|David Brooks|person_name
Alan Glynn|William Bast|person_name
Alan Hackney|Marty Kaplan|person_name
Alan Hale|Michael Finkel|person_name
Alan Hines|Brian Desmond Hurst|person_name
Alan J. Pakula|Delroy Lindo|person_name
Alan Jacobs|Ross Macdonald|person_name
Alan Jay Lerner|William W. Norton|person_name
Alan Johnson|Sadie Frost|person_name
Alan King|Riisa Naka|person_name
Alan Ladd|Jay Martel|person_name
Alan Le May|Moufida Tlatli|person_name
Alan Llwyd|William Archibald|person_name
Alan Lowery|Melinda Kinnaman|person_name
Alan Mak|Mark Ruffalo|person_name
Alan Marshal|William F. Claxton|person_name
Alan Martin|Matthew Penn|person_name
Alan Metter|Tina Louise|person_name
Alan Moore|Daniel de Oliveira|person_name
Alan Mowbray|Ramon Novarro|person_name
Alan Ormsby|Nicholle Tom|person_name
Alan Pao|Corin Nemec|person_name
Alan Parker|María Luisa Bemberg|person_name
Alan Partridge|Winter's Tale|title
Alan Paton|Duane Boutte|person_name
Alan R. Cohen|Jehane Noujaim|person_name
Alan Rafkin|Cheyenne Jackson|person_name
Alan Rickman|Sophia Myles|person_name
Alan Ritchson|Franklin Lacey|person_name
Alan Roscoe|Richard Blackburn|person_name
Alan Ruck|Luke Grimes|person_name
Alan Rudolph|Anna Chancellor|person_name
Alan Shapiro|Menno Meyjes|person_name
Alan Sharp|Herbert Sargent|person_name
Alan Sillitoe|Jonathan Ward|person_name
Alan Simpson|Jeanie Macpherson|person_name
Alan Snow|Channing Tatum|person_name
Alan Spencer|Faith Esham|person_name
Alan Tam|Rachel Duncan|person_name
Alan Taylor|Tom Hardy|person_name
Alan Thicke|John McIntire|person_name
Alan Tudyk|Lauren Montgomery|person_name
Alan Van Sprang|Dodie Marshall|person_name
Alan Warner|Lynn Root|person_name
Alan Wenkus|Robert Fuest|person_name
Alan Yang|Emma Lung|person_name
Alan Young|Eiji Okada|person_name
Alan Zweibel|Brent Briscoe|person_name
Alan Zweig|Alia Bhatt|person_name
Alana De Roma|Frank Silvera|person_name
Alanis Morissette|T. Hee|person_name
Alanna Ubach|Chaney Kley|person_name
Alastair Fothergill|Lincoln Kirstein|person_name
Alastair MacBain|Emmanuelle Béart|person_name
Alastair Mackenzie|Peter Matthiessen|person_name
Albatross|The Matriarch|title
Albert Aley|Anthony Kimmins|person_name
Albert Austin|Christophe Barratier|person_name
Albert Band|June Lockhart|person_name
Albert Bassermann|Jérôme Robart|person_name
Albert Beich|J. Hartley Manners|person_name
Albert Brooks|Ann Druyan|person_name
Albert Camus|Jag Mundhra|person_name
Albert Dekker|Joshua Pelegrin|person_name
Albert Dupontel|Graham Swift|person_name
Albert Fay Hill|Donald Keith|person_name
Albert Finney|Brian Nelson|person_name
Albert Hackett|Shamus Culhane|person_name
Albert Hall|Emmanuelle Vaugier|person_name
Albert Hughes|Gina Bellman|person_name
Albert Husson|Andrey Zvyagintsev|person_name
Albert Lamorisse|Karl Tunberg|person_name
Albert Leon|Ashley Montagu|person_name
Albert Lewin|Barbara O'Neil|person_name
Albert Lieven|Kevin Greutert|person_name
Albert Magnoli|Virginia Bruce|person_name
Albert Maltz|Steve Austin|person_name
Albert Mannheimer|Strother Martin|person_name
Albert Nobbs|Back from Eternity|title
Albert Pyun|Maggie Q|person_name
Albert Riéra|Shiri Appleby|person_name
Albert Rémy|Maren Ade|person_name
Albert S. Rogell|Don Stanford|person_name
Albert Salmi|Loryn Locklin|person_name
Albert Sharpe|David McLean|person_name
Albert Torres|Joseph Cawthorn|person_name
Albert Uderzo|Joel Courtney|person_name
Albert Zugsmith|John Forte|person_name
Alberta Watson|Alex Cord|person_name
Alberto Ammann|Sylvain Chomet|person_name
Alberto Bevilacqua|Stephen Hawking|person_name
Alberto Cardone|Dennis Morgan|person_name
Alberto Casella|Paul Dooley|person_name
Alberto Cavalcanti|Dan Studney|person_name
Alberto Granado|Susan Hart|person_name
Alberto Lattuada|Howard Hughes|person_name
Alberto Marini|Vladan Nikolic|person_name
Alberto Moravia|Maja Ostaszewska|person_name
Alberto Méndez|Davis Grubb|person_name
Alberto Sordi|Bill Paxton|person_name
Alberto de Mendoza|Joseph Greco|person_name
Albino Alligator|Coal Miner's Daughter|title
Albino Farm|The Man Who Planted Trees|title
Albuquerque|Confessions of a Window Cleaner|title
Alden Ehrenreich|Scott Patrick Green|person_name
Aldo Fabrizi|William Woods|person_name
Aldo Giuffrè|Glenn Quinn|person_name
Aldo Lado|Prachya Pinkaew|person_name
Aldo Ray|Bruce Dern|person_name
Aldous Huxley|Richard C. Sarafian|person_name
Alec Baldwin|Sylvie Testud|person_name
Alec Berg|America Ferrera|person_name
Alec Coppel|Michael Brandon|person_name
Alec Guinness|Takashige Ichise|person_name
Alec McCowen|Judith Guest|person_name
Alec Sokolow|Robert Wyler|person_name
Alec Sulkin|Eddie Bracken|person_name
Alec Waugh|Mandy Musgrave|person_name
Alejandro Agresti|Victor Schertzinger|person_name
Alejandro Amenábar|Theodore Reed|person_name
Alejandro Brugués|Charles Gitonga Maina|person_name
Alejandro Chomski|Vince Offer|person_name
Alejandro González Iñárritu|Marie Windsor|person_name
Alejandro Jodorowsky|Eugene Jarecki|person_name
Alejandro Rey|Gerardo Naranjo|person_name
Alejandro Urdapilleta|Adrian Butchart|person_name
Alek Keshishian|Mindy Cohn|person_name
Aleksander Bardini|Colin Quinn|person_name
Aleksandr Dulerayn|Tracey Ullman|person_name
Aleksandr Gordon|Jeanne Jordan|person_name
Aleksandr Misharin|Douglas Fowley|person_name
Aleksandr Ptushko|Efren Ramirez|person_name
Aleksandr Rogozhkin|Sandro Petraglia|person_name
Aleksandr Satsky|César Troncoso|person_name
Aleksandr Sokurov|Christopher Bradley|person_name
Aleksey Barabash|Hirokazu Koreeda|person_name
Aleksey Batalov|Vanessa Redgrave|person_name
Aleksey German|Pruitt Taylor Vince|person_name
Aleksey Popogrebskiy|Vir Das|person_name
Aleksi Bardy|Xavier Koller|person_name
